unet,radial_lines,reconstruction,epochs,folder,psnr,ssim,lpips,metrics,metrics_std,model_path
ConvUNeXt,40,L2_TV,89.0,result_images/ConvUNeXt_40lines_L2_TV_89epochs,36.67,0.967,0.19,36.67 / 0.967 / 0.190,36.67(3.34) / 0.967(0.016) / 0.190(0.081),MRIrec_experiments/ConvUNeXt_40lines_L2_TV/ConvUNeXt_40lines_L2_TV_epoch89_constantLR_0.001.pth
ConvUNeXt,40,L1_TV,70.0,result_images/ConvUNeXt_40lines_L1_TV_70epochs,36.86,0.969,0.183,36.86 / 0.969 / 0.183,36.86(3.50) / 0.969(0.016) / 0.183(0.081),MRIrec_experiments/ConvUNeXt_40lines_L1_TV/ConvUNeXt_40lines_L1_TV_epoch70_constantLR_0.001.pth
ConvUNeXt,40,L2_L1_TV,92.0,result_images/ConvUNeXt_40lines_L2_L1_TV_92epochs,37.07,0.969,0.179,37.07 / 0.969 / 0.179,37.07(3.40) / 0.969(0.014) / 0.179(0.082),MRIrec_experiments/ConvUNeXt_40lines_L2_L1_TV/ConvUNeXt_40lines_L2_L1_TV_epoch92_constantLR_0.001.pth
ConvUNeXt,60,L2,94.0,result_images/ConvUNeXt_60lines_L2_L1_TV_94epochs,40.46,0.981,0.13,40.46 / 0.981 / 0.130,40.46(3.62) / 0.981(0.012) / 0.130(0.073),MRIrec_experiments/ConvUNeXt_60lines_L2/ConvUNeXt_60lines_L2_epoch94_constantLR_0.001.pth
ConvUNeXt,60,L1,65.0,result_images/ConvUNeXt_60lines_L1_TV_65epochs,40.13,0.98,0.132,40.13 / 0.980 / 0.132,40.13(3.37) / 0.980(0.007) / 0.132(0.074),MRIrec_experiments/ConvUNeXt_60lines_L1/ConvUNeXt_60lines_L1_epoch65_constantLR_0.001.pth
ConvUNeXt,60,TV,70.0,result_images/ConvUNeXt_60lines_TV_70epochs,39.89,0.982,0.143,39.89 / 0.982 / 0.143,39.89(3.41) / 0.982(0.009) / 0.143(0.077),MRIrec_experiments/ConvUNeXt_60lines_TV/ConvUNeXt_60lines_TV_epoch70_constantLR_0.001.pth
ConvUNeXt,60,L2_L1,94.0,result_images/ConvUNeXt_60lines_L2_L1_TV_94epochs,40.46,0.981,0.13,40.46 / 0.981 / 0.130,40.46(3.62) / 0.981(0.012) / 0.130(0.073),MRIrec_experiments/ConvUNeXt_60lines_L2_L1/ConvUNeXt_60lines_L2_L1_epoch94_constantLR_0.001.pth
ConvUNeXt,60,L2_TV,100.0,result_images/ConvUNeXt_60lines_L2_TV_100epochs,40.28,0.983,0.136,40.28 / 0.983 / 0.136,40.28(3.54) / 0.983(0.009) / 0.136(0.074),MRIrec_experiments/ConvUNeXt_60lines_L2_TV/ConvUNeXt_60lines_L2_TV_epoch100_constantLR_0.001.pth
ConvUNeXt,60,L1_TV,65.0,result_images/ConvUNeXt_60lines_L1_TV_65epochs,40.13,0.98,0.132,40.13 / 0.980 / 0.132,40.13(3.37) / 0.980(0.007) / 0.132(0.074),MRIrec_experiments/ConvUNeXt_60lines_L1_TV/ConvUNeXt_60lines_L1_TV_epoch65_constantLR_0.001.pth
ConvUNeXt,60,L2_L1_TV,94.0,result_images/ConvUNeXt_60lines_L2_L1_TV_94epochs,40.46,0.981,0.13,40.46 / 0.981 / 0.130,40.46(3.62) / 0.981(0.012) / 0.130(0.073),MRIrec_experiments/ConvUNeXt_60lines_L2_L1_TV/ConvUNeXt_60lines_L2_L1_TV_epoch94_constantLR_0.001.pth
ConvUNeXt,80,L2,66.0,result_images/ConvUNeXt_80lines_L2_L1_TV_66epochs,42.1,0.986,0.099,42.10 / 0.986 / 0.099,42.10(3.40) / 0.986(0.007) / 0.099(0.063),MRIrec_experiments/ConvUNeXt_80lines_L2/ConvUNeXt_80lines_L2_epoch66_constantLR_0.001.pth
ConvUNeXt,80,L1,95.0,result_images/ConvUNeXt_80lines_L1_95epochs,41.54,0.986,0.119,41.54 / 0.986 / 0.119,41.54(3.96) / 0.986(0.009) / 0.119(0.076),MRIrec_experiments/ConvUNeXt_80lines_L1/ConvUNeXt_80lines_L1_epoch95_constantLR_0.001.pth
ConvUNeXt,80,TV,71.0,result_images/ConvUNeXt_80lines_TV_71epochs,42.0,0.988,0.112,42.00 / 0.988 / 0.112,42.00(3.56) / 0.988(0.007) / 0.112(0.069),MRIrec_experiments/ConvUNeXt_80lines_TV/ConvUNeXt_80lines_TV_epoch71_constantLR_0.001.pth
ConvUNeXt,80,L2_L1,66.0,result_images/ConvUNeXt_80lines_L2_L1_TV_66epochs,42.1,0.986,0.099,42.10 / 0.986 / 0.099,42.10(3.40) / 0.986(0.007) / 0.099(0.063),MRIrec_experiments/ConvUNeXt_80lines_L2_L1/ConvUNeXt_80lines_L2_L1_epoch66_constantLR_0.001.pth
ConvUNeXt,80,L2_TV,90.0,result_images/ConvUNeXt_80lines_L2_TV_90epochs,42.07,0.989,0.105,42.07 / 0.989 / 0.105,42.07(3.52) / 0.989(0.006) / 0.105(0.065),MRIrec_experiments/ConvUNeXt_80lines_L2_TV/ConvUNeXt_80lines_L2_TV_epoch90_constantLR_0.001.pth
ConvUNeXt,80,L1_TV,67.0,result_images/ConvUNeXt_80lines_L1_TV_67epochs,42.55,0.988,0.103,42.55 / 0.988 / 0.103,42.55(3.72) / 0.988(0.006) / 0.103(0.065),MRIrec_experiments/ConvUNeXt_80lines_L1_TV/ConvUNeXt_80lines_L1_TV_epoch67_constantLR_0.001.pth
ConvUNeXt,80,L2_L1_TV,66.0,result_images/ConvUNeXt_80lines_L2_L1_TV_66epochs,42.1,0.986,0.099,42.10 / 0.986 / 0.099,42.10(3.40) / 0.986(0.007) / 0.099(0.063),MRIrec_experiments/ConvUNeXt_80lines_L2_L1_TV/ConvUNeXt_80lines_L2_L1_TV_epoch66_constantLR_0.001.pth
ConvUNeXt,100,L2,86.0,result_images/ConvUNeXt_100lines_L2_L1_86epochs,42.02,0.984,0.102,42.02 / 0.984 / 0.102,42.02(3.71) / 0.984(0.006) / 0.102(0.066),MRIrec_experiments/ConvUNeXt_100lines_L2/ConvUNeXt_100lines_L2_epoch86_constantLR_0.001.pth
ConvUNeXt,100,L1,90.0,result_images/ConvUNeXt_100lines_L1_90epochs,42.07,0.985,0.104,42.07 / 0.985 / 0.104,42.07(3.67) / 0.985(0.006) / 0.104(0.066),MRIrec_experiments/ConvUNeXt_100lines_L1/ConvUNeXt_100lines_L1_epoch90_constantLR_0.001.pth
ConvUNeXt,100,TV,71.0,result_images/ConvUNeXt_100lines_TV_71epochs,42.72,0.986,0.099,42.72 / 0.986 / 0.099,42.72(3.25) / 0.986(0.004) / 0.099(0.063),MRIrec_experiments/ConvUNeXt_100lines_TV/ConvUNeXt_100lines_TV_epoch71_constantLR_0.001.pth
ConvUNeXt,100,L2_L1,86.0,result_images/ConvUNeXt_100lines_L2_L1_86epochs,42.02,0.984,0.102,42.02 / 0.984 / 0.102,42.02(3.71) / 0.984(0.006) / 0.102(0.066),MRIrec_experiments/ConvUNeXt_100lines_L2_L1/ConvUNeXt_100lines_L2_L1_epoch86_constantLR_0.001.pth
ConvUNeXt,100,L2_TV,98.0,result_images/ConvUNeXt_100lines_L2_TV_98epochs,42.98,0.987,0.09,42.98 / 0.987 / 0.090,42.98(3.41) / 0.987(0.004) / 0.090(0.058),MRIrec_experiments/ConvUNeXt_100lines_L2_TV/ConvUNeXt_100lines_L2_TV_epoch98_constantLR_0.001.pth
ConvUNeXt,100,L1_TV,90.0,result_images/ConvUNeXt_100lines_L1_TV_90epochs,43.61,0.99,0.083,43.61 / 0.990 / 0.083,43.61(3.96) / 0.990(0.006) / 0.083(0.055),MRIrec_experiments/ConvUNeXt_100lines_L1_TV/ConvUNeXt_100lines_L1_TV_epoch90_constantLR_0.001.pth
ConvUNeXt,100,L2_L1_TV,57.0,result_images/ConvUNeXt_100lines_L2_L1_TV_57epochs,43.27,0.99,0.092,43.27 / 0.990 / 0.092,43.27(3.58) / 0.990(0.005) / 0.092(0.062),MRIrec_experiments/ConvUNeXt_100lines_L2_L1_TV/ConvUNeXt_100lines_L2_L1_TV_epoch57_constantLR_0.001.pth
