unet,radial_lines,reconstruction,epochs,folder,psnr,ssim,lpips,metrics,metrics_std,model_path
ResnetUnet,60,L2_L1,100.0,result_images/ResnetUnet_60lines_L2_L1_TV_100epochs,40.67,0.985,0.124,40.67 / 0.985 / 0.124,40.67(3.67) / 0.985(0.009) / 0.124(0.071),MRIrec_experiments/ResnetUnet_60lines_L2_L1/ResnetUnet_60lines_L2_L1_epoch100_constantLR_0.001.pth
ResnetUnet,60,L2_TV,99.0,result_images/ResnetUnet_60lines_L2_TV_99epochs,40.3,0.984,0.135,40.30 / 0.984 / 0.135,40.30(3.62) / 0.984(0.009) / 0.135(0.073),MRIrec_experiments/ResnetUnet_60lines_L2_TV/ResnetUnet_60lines_L2_TV_epoch99_constantLR_0.001.pth
ResnetUnet,60,L1_TV,98.0,result_images/ResnetUnet_60lines_L1_TV_98epochs,40.53,0.985,0.129,40.53 / 0.985 / 0.129,40.53(3.69) / 0.985(0.009) / 0.129(0.072),MRIrec_experiments/ResnetUnet_60lines_L1_TV/ResnetUnet_60lines_L1_TV_epoch98_constantLR_0.001.pth
ResnetUnet,60,L2_L1_TV,100.0,result_images/ResnetUnet_60lines_L2_L1_TV_100epochs,40.67,0.985,0.124,40.67 / 0.985 / 0.124,40.67(3.67) / 0.985(0.009) / 0.124(0.071),MRIrec_experiments/ResnetUnet_60lines_L2_L1_TV/ResnetUnet_60lines_L2_L1_TV_epoch100_constantLR_0.001.pth
ConvUNeXt,60,L2,94.0,result_images/ConvUNeXt_60lines_L2_L1_TV_94epochs,40.46,0.981,0.13,40.46 / 0.981 / 0.130,40.46(3.62) / 0.981(0.012) / 0.130(0.073),MRIrec_experiments/ConvUNeXt_60lines_L2/ConvUNeXt_60lines_L2_epoch94_constantLR_0.001.pth
ConvUNeXt,60,L1,65.0,result_images/ConvUNeXt_60lines_L1_TV_65epochs,40.13,0.98,0.132,40.13 / 0.980 / 0.132,40.13(3.37) / 0.980(0.007) / 0.132(0.074),MRIrec_experiments/ConvUNeXt_60lines_L1/ConvUNeXt_60lines_L1_epoch65_constantLR_0.001.pth
ConvUNeXt,60,TV,70.0,result_images/ConvUNeXt_60lines_TV_70epochs,39.89,0.982,0.143,39.89 / 0.982 / 0.143,39.89(3.41) / 0.982(0.009) / 0.143(0.077),MRIrec_experiments/ConvUNeXt_60lines_TV/ConvUNeXt_60lines_TV_epoch70_constantLR_0.001.pth
ConvUNeXt,60,L2_L1,94.0,result_images/ConvUNeXt_60lines_L2_L1_TV_94epochs,40.46,0.981,0.13,40.46 / 0.981 / 0.130,40.46(3.62) / 0.981(0.012) / 0.130(0.073),MRIrec_experiments/ConvUNeXt_60lines_L2_L1/ConvUNeXt_60lines_L2_L1_epoch94_constantLR_0.001.pth
ConvUNeXt,60,L2_TV,100.0,result_images/ConvUNeXt_60lines_L2_TV_100epochs,40.28,0.983,0.136,40.28 / 0.983 / 0.136,40.28(3.54) / 0.983(0.009) / 0.136(0.074),MRIrec_experiments/ConvUNeXt_60lines_L2_TV/ConvUNeXt_60lines_L2_TV_epoch100_constantLR_0.001.pth
ConvUNeXt,60,L1_TV,65.0,result_images/ConvUNeXt_60lines_L1_TV_65epochs,40.13,0.98,0.132,40.13 / 0.980 / 0.132,40.13(3.37) / 0.980(0.007) / 0.132(0.074),MRIrec_experiments/ConvUNeXt_60lines_L1_TV/ConvUNeXt_60lines_L1_TV_epoch65_constantLR_0.001.pth
ConvUNeXt,60,L2_L1_TV,94.0,result_images/ConvUNeXt_60lines_L2_L1_TV_94epochs,40.46,0.981,0.13,40.46 / 0.981 / 0.130,40.46(3.62) / 0.981(0.012) / 0.130(0.073),MRIrec_experiments/ConvUNeXt_60lines_L2_L1_TV/ConvUNeXt_60lines_L2_L1_TV_epoch94_constantLR_0.001.pth
